owner,address,suburb,postcode,capacity,startDate,endDate,price,longitude,latitude
JftoCfdyXOj0Oln@qq.com,29 Maud Street,Randwick,2031.0,6,2019-07-29,2019-08-03,304,151.2364359,-33.9203011
fik5zRxP@yahoo.com,25 Eleventh Street,Mascot,2020.0,2,2019-07-19,2019-07-24,348,151.1866448,-33.93413020000001
i83c4nU9@hotmail.com,13 Mileham Avenue,Baulkham Hills,2153.0,3,2018-12-13,2018-12-17,260,150.9912654,-33.74642180000001
UhYK2eGjl@gmail.com,5 Yetholme Avenue,Baulkham Hills,2153.0,1,2019-03-21,2019-03-22,283,150.97157819999995,-33.7557619
NgL51xIkX@gmail.com,27 Martindale Avenue,Baulkham Hills,2153.0,3,2018-11-22,2018-11-24,369,150.98585459999995,-33.746916299999995
e5wj@yahoo.com,9 Hillgate Place,Castle Hill,2154.0,5,2018-10-08,2018-10-15,297,151.03060200000004,-33.7247895
wqZLQXAwUUug9A@qq.com,1 Murray Street,Pyrmont,2009.0,6,2018-10-18,2018-10-23,284,151.1974646,-33.86924129999999
S5eNoKeN@qq.com,1 Sir Joseph Banks Street,Bankstown,2200.0,2,2018-12-30,2019-01-02,331,151.0390438,-33.9141753
JftoCfdyXOj0Oln@qq.com,23 Prince Lane,Randwick,2031.0,7,2019-06-09,2019-06-12,400,151.2367699,-33.909521399999996
clh@hotmail.com,23 York Drive,Newcastle,2284.0,8,2018-12-03,2018-12-08,321,151.6085874,-32.9594635
jhvSFG7S4BNW@yahoo.com,1 Reiby Place,Sydney,2042.0,7,2018-11-06,2018-11-11,273,151.1750367,-33.8991726
clh@hotmail.com,1 Short Street,Randwick,2031.0,6,2019-08-13,2019-08-17,344,151.2412365,-33.9158453
B7tQhuSHvvj@yahoo.com,3 Perth Avenue,Campbelltown,2560.0,7,2019-08-08,2019-08-10,330,150.8344291,-34.0673175
JftoCfdyXOj0Oln@qq.com,11 Highgate Street,Auburn,2144.0,2,2019-06-23,2019-06-28,376,151.0288524,-33.8413338
KRSJlXAwzGA3w@yahoo.com,17 Timothy Avenue,Castle Hill,2154.0,3,2019-01-16,2019-01-21,292,151.0118647,-33.73778679999999
dD@gmail.com,23 Madden Lane,Blacktown,2148.0,6,2019-06-08,2019-06-11,320,150.9260629,-33.7529065
jGDRtOJlwggv@163.com,5 Mitchell Street,Campbelltown,2560.0,7,2019-03-06,2019-03-11,336,150.82448169999995,-34.0738524
Xk3EtyWcyaOoY9L@yahoo.com,1 Sterlini Close,Blacktown,2148.0,5,2018-10-05,2018-10-11,285,150.8989892,-33.7925922
EtKeNSvBAlX@163.com,23 Purser Avenue,Castle Hill,2154.0,8,2019-02-14,2019-02-16,283,150.99863180000003,-33.734479799999995
W@gmail.com,7 Hodgson Crescent,Baulkham Hills,2153.0,3,2019-03-09,2019-03-14,326,150.9800802,-33.76501320000001
PuPoy@gmail.com,9 Fitzwilliam Street,Parramatta,2150.0,6,2018-12-14,2018-12-17,285,151.0048272,-33.818076399999995
i@163.com,7 Sheas Lane,Surry Hills,2010.0,8,2019-04-26,2019-04-27,287,151.2145371,-33.8849025
syGvGOKi9@163.com,27 Northcote Street,Auburn,2144.0,1,2019-03-14,2019-03-19,366,151.0266224,-33.849612
EtKeNSvBAlX@163.com,15 Sylvia Street,Blacktown,2148.0,1,2018-11-13,2018-11-17,371,150.88481169999997,-33.7733342
S5eNoKeN@qq.com,9 Leitz Street,Liverpool,2170.0,1,2019-04-22,2019-04-28,369,150.91612680000003,-33.916587
nEPP9TXtr1yFx@163.com,17 Blenheim Road,North Ryde,2113.0,6,2019-06-24,2019-06-29,316,151.13231509999997,-33.8005266
xn3ZFu@163.com,3 Handley Street,Auburn,2144.0,1,2019-08-19,2019-08-25,365,151.01935759999995,-33.856178
mRu@gmail.com,21 Kay Street,Blacktown,2148.0,8,2018-12-03,2018-12-08,255,150.910782,-33.7873014
nPbGeBdRi7V8lFh@163.com,21 Murdocca Place,Castle Hill,2154.0,3,2018-12-04,2018-12-10,324,150.9725517,-33.7223665
UhYK2eGjl@gmail.com,5 Wall Park Avenue,Blacktown,2147.0,7,2019-01-06,2019-01-09,280,150.93130219999995,-33.777421600000004
rBxn@hotmail.com,19 Kanili Avenue,Baulkham Hills,2153.0,5,2018-10-23,2018-10-24,374,150.9740279,-33.770181799999996
YVv7a2h@qq.com,1 Gelibolu Parade,Auburn,2144.0,2,2018-10-25,2018-10-29,316,151.0364596,-33.8535721
1lqo@gmail.com,15 Carrington Street,Sydney,2130.0,3,2019-03-22,2019-03-24,319,151.1394698,-33.8930855
JftoCfdyXOj0Oln@qq.com,25 James Cook Drive,Castle Hill,2154.0,2,2019-01-21,2019-01-26,317,151.018136,-33.7301656
csQWhI7@gmail.com,5 St Marks Avenue,Castle Hill,2154.0,7,2019-03-30,2019-03-31,389,151.00040249999995,-33.72193370000001
DCfTVXI@yahoo.com,17 West Promenade,Manly,2095.0,3,2019-02-03,2019-02-06,269,151.2844444,-33.7968347
KRSJlXAwzGA3w@yahoo.com,17 Thomas Street,Randwick,2031.0,3,2019-07-30,2019-08-02,400,151.2495116,-33.923832
KRSJlXAwzGA3w@yahoo.com,3 Racecourse Road,Penrith,2750.0,8,2018-09-16,2018-09-18,282,150.6934339,-33.7694766
BWwieP4z63px@163.com,23 Coolock Crescent,Baulkham Hills,2153.0,6,2019-07-24,2019-07-28,289,150.9811233,-33.7409727
Ej8Lo0fzr@gmail.com,15 Hope Street,Penrith,2750.0,3,2019-06-21,2019-06-27,289,150.7098852,-33.7592845
sypTI5PXCr@gmail.com,19 Lakewood Crescent,Liverpool,2170.0,1,2019-07-04,2019-07-07,379,150.9180106,-33.93833559999999
csQWhI7@gmail.com,5 Dellwood Street,Bankstown,2200.0,5,2018-12-24,2018-12-27,308,151.0320941,-33.9260338
XpRaxd@hotmail.com,3 Hardiman Avenue,Randwick,2031.0,8,2019-02-24,2019-03-03,369,151.2460606,-33.921352
dvG@yahoo.com,27 Kialba Road,Campbelltown,2560.0,4,2019-06-16,2019-06-19,304,150.82234230000003,-34.056172600000004
v6@gmail.com,21 Cullen Crescent,Castle Hill,2154.0,5,2018-09-07,2018-09-08,254,151.0222123,-33.730943100000005
sypTI5PXCr@gmail.com,5 Hillcrest Avenue,Penrith,2750.0,6,2019-07-20,2019-07-22,269,150.7052219,-33.745102100000004
d46nNJDU9HvO@yahoo.com,1 Stubbs Street,Auburn,2144.0,3,2019-01-15,2019-01-20,392,151.03583740000005,-33.840794700000004
06u@163.com,15 Station Street,Penrith,2750.0,2,2018-11-03,2018-11-10,383,150.6957615,-33.751067299999995
Ouaj@qq.com,5 Harris Street,Penrith,2750.0,7,2019-03-18,2019-03-22,346,150.6804784,-33.7613502
csQWhI7@gmail.com,27 Burbong Street,Randwick,2031.0,8,2018-08-28,2018-09-01,347,151.23777019999997,-33.9304395
1lqo@gmail.com,1 Barker Drive,Castle Hill,2154.0,6,2019-02-02,2019-02-04,315,151.02102240000005,-33.7293917
1ereqzW9dU@gmail.com,9 Northumberland Street,Blacktown,2148.0,6,2019-08-19,2019-08-26,254,150.91069109999995,-33.78528170000001
Bt9zZona2au@hotmail.com,29 Lacebark Way,Castle Hill,2154.0,4,2018-09-01,2018-09-02,300,151.0163122,-33.7413752
KiktNumRNgYZyD@yahoo.com,19 Skittle Lane,Sydney,2000.0,7,2019-04-02,2019-04-08,328,151.2048613,-33.8687382
iCnF7eAMj@hotmail.com,21 Marcel Avenue,Randwick,2031.0,8,2019-04-09,2019-04-12,351,151.253029,-33.9124136
p0orNAHm5I@163.com,1 Eulalie Avenue,Randwick,2031.0,1,2019-01-17,2019-01-24,347,151.24426090000003,-33.9111783
2bFjl@gmail.com,27 Gibb Street,North Ryde,2113.0,8,2019-04-28,2019-04-30,330,151.1186387,-33.7919053
gac009@gmail.com,15 Roxborough Park Road,Baulkham Hills,2153.0,8,2019-01-01,2019-01-03,348,150.98753689999995,-33.7487036
EtKeNSvBAlX@163.com,15 Hogan Grove,Castle Hill,2154.0,7,2019-01-08,2019-01-12,359,150.9721869,-33.720555299999994
e5wj@yahoo.com,29 Castle Place,Castle Hill,2154.0,8,2019-01-13,2019-01-18,282,151.0023864,-33.730509999999995
cx@hotmail.com,11 Ocean Lane,Manly,2095.0,6,2018-11-10,2018-11-16,368,151.28272619999996,-33.794343100000006
d46nNJDU9HvO@yahoo.com,23 Waruda Street,Bankstown,2200.0,1,2019-03-02,2019-03-05,283,151.0120031,-33.9137649
p@gmail.com,11 Perkins Street,Newcastle,2300.0,5,2018-11-10,2018-11-11,303,151.77877790000005,-32.9270585
KiktNumRNgYZyD@yahoo.com,7 Lanark Court,Castle Hill,2154.0,4,2019-03-07,2019-03-09,306,151.0091362,-33.7177006
NpUAcXNwNn@163.com,7 Girralong Avenue,Baulkham Hills,2153.0,7,2018-09-24,2018-09-26,288,150.99888190000001,-33.7526285
rBxn@hotmail.com,3 Ludlow Road,Castle Hill,2154.0,6,2018-12-11,2018-12-17,368,151.00918169999997,-33.735781200000005
dvG@yahoo.com,17 Rawlinson Avenue,Wollongong,2500.0,2,2019-04-08,2019-04-13,255,150.88490259999998,-34.4295224
ZwjiyF7ScVZo@yahoo.com,5 Boyce Street,North Ryde,2112.0,4,2019-05-11,2019-05-16,279,151.11761,-33.8058305
tR7jnFYxmGS@yahoo.com,15 York Street,Sydney,2000.0,1,2019-02-04,2019-02-05,251,151.2052994,-33.8653077
XpRaxd@hotmail.com,17 Warwick Parade,Castle Hill,2154.0,1,2019-08-01,2019-08-06,347,150.994686,-33.7317356
93h0vSne@hotmail.com,11 Nanette Place,Castle Hill,2154.0,5,2018-11-12,2018-11-16,326,150.99076530000005,-33.7232723
NpUAcXNwNn@163.com,17 Cheryl Place,Castle Hill,2154.0,8,2018-10-13,2018-10-17,260,150.9783744,-33.7227402
mdBXbqkZKv@gmail.com,27 Victoria Avenue,Castle Hill,2154.0,6,2018-09-22,2018-09-25,375,150.97882990000005,-33.72723010000001
JftoCfdyXOj0Oln@qq.com,5 Ellen Street,Wollongong,2500.0,2,2019-05-10,2019-05-16,277,150.8936725,-34.4301343
hIgW27e2@hotmail.com,9 Gowrie Drive,Castle Hill,2154.0,3,2018-12-23,2018-12-25,379,151.0248225,-33.7291581
W@gmail.com,15 Gorton Close,Penrith,2750.0,6,2019-02-04,2019-02-09,339,150.7060275,-33.7477542
S5eNoKeN@qq.com,29 Mavis Street,North Ryde,2113.0,7,2018-10-07,2018-10-13,355,151.1147228,-33.7936018
BWwieP4z63px@163.com,19 George Street,Parramatta,2150.0,8,2019-04-17,2019-04-20,294,151.0023321,-33.81362319999999
jhvSFG7S4BNW@yahoo.com,1 Vittoria Smith Avenue,Castle Hill,2154.0,6,2019-08-05,2019-08-11,309,151.0204446,-33.7298154
NgL51xIkX@gmail.com,29 Ross Smith Avenue,Mascot,2020.0,5,2019-06-28,2019-07-01,376,151.1912381,-33.941259
Xk3EtyWcyaOoY9L@yahoo.com,1 Kokoda Street,North Ryde,2113.0,2,2019-05-18,2019-05-22,341,151.1307734,-33.7994429
Rk0GARU8Ueeno@163.com,13 Murray Street,Pyrmont,2000.0,6,2019-01-02,2019-01-05,380,151.1975512,-33.8692407
nEPP9TXtr1yFx@163.com,21 Trevitt Road,North Ryde,2113.0,8,2018-10-07,2018-10-10,396,151.12009009999997,-33.790493299999994
i1w9Z@gmail.com,17 Rawson Lane,Mascot,2020.0,5,2018-09-01,2018-09-06,379,151.19670980000004,-33.9262264
PuPoy@gmail.com,19 Fifth Street,Mascot,2020.0,7,2018-09-04,2018-09-06,273,151.1822459,-33.93287539999999
mRu@gmail.com,11 Whittell Street,Surry Hills,2010.0,3,2019-02-11,2019-02-13,304,151.2149026,-33.889214
GucBiWCOa8asWqU@gmail.com,15 Calidore Street,Bankstown,2200.0,1,2018-11-05,2018-11-09,389,151.0247805,-33.9335345
syGvGOKi9@163.com,19 Theo Street,Liverpool,2170.0,5,2018-10-22,2018-10-23,385,150.917034,-33.9124702
0W0PZ@gmail.com,13 Duckmallois Avenue,Blacktown,2148.0,7,2019-07-21,2019-07-25,338,150.90807790000005,-33.782274
syGvGOKi9@163.com,29 Landscape Street,Baulkham Hills,2153.0,1,2019-07-31,2019-08-03,389,150.9867115,-33.7564657
W@gmail.com,3 Marie Street,Castle Hill,2154.0,8,2019-03-08,2019-03-15,395,150.9995071,-33.73767160000001
YVv7a2h@qq.com,15 Bounty Avenue,Castle Hill,2154.0,2,2019-08-03,2019-08-07,347,150.99417549999995,-33.724385299999994
JX7N4sdMiBWHeuX@qq.com,1 Gabrielle Avenue,Baulkham Hills,2153.0,7,2019-04-18,2019-04-21,306,150.97784230000005,-33.7538044
ZwjiyF7ScVZo@yahoo.com,5 Henrietta Lane,Manly,2095.0,2,2018-10-15,2018-10-17,295,151.2872218,-33.7962502
2bFjl@gmail.com,7 Montpelier Place,Manly,2095.0,1,2018-10-14,2018-10-17,336,151.2948064,-33.8022004
c16Uqdz0U@163.com,27 Alderson Avenue,Liverpool,2170.0,8,2018-08-26,2018-08-30,359,150.9122135,-33.93494620000001
jhvSFG7S4BNW@yahoo.com,3 Rowallan Avenue,Castle Hill,2154.0,3,2019-05-24,2019-05-26,368,150.99803280000003,-33.7288374
2c08w@163.com,17 Darling Island Road,Pyrmont,2009.0,1,2019-05-30,2019-06-02,358,151.1961701,-33.864819
1lqo@gmail.com,9 Lacebark Way,Castle Hill,2154.0,2,2019-02-16,2019-02-22,387,151.0163122,-33.7413752
mdBXbqkZKv@gmail.com,7 Keys Place,Liverpool,2170.0,6,2018-09-08,2018-09-14,355,150.9105774,-33.9245975
UhYK2eGjl@gmail.com,15 Verletta Avenue,Castle Hill,2154.0,1,2019-01-25,2019-01-31,386,150.9949031,-33.7335651
NVagkJY@hotmail.com,11 Rigney Avenue,Kingsford,2032.0,1,2019-08-19,2019-08-23,269,151.2381361,-33.9260902
51KhADJyE@163.com,1 Maureen Place,Blacktown,2148.0,3,2018-10-27,2018-10-31,344,150.894445,-33.7765715
e5wj@yahoo.com,19 Old Windsor Road,Baulkham Hills,2147.0,1,2018-12-04,2018-12-11,297,150.9643377,-33.7784566
NwFYhZBT2m@163.com,13 Elanora Close,Baulkham Hills,2153.0,4,2019-02-03,2019-02-05,356,150.98691200000005,-33.7678931
SPVW@hotmail.com,17 Gregory Avenue,Baulkham Hills,2153.0,5,2019-06-27,2019-07-01,292,150.9712599,-33.7604348
iCnF7eAMj@hotmail.com,23 Rochester Grove,Castle Hill,2154.0,1,2019-03-16,2019-03-19,320,150.9760792,-33.7216692
JV0qdSPi@yahoo.com,29 Albion Street,Surry Hills,2010.0,7,2018-11-04,2018-11-10,281,151.20997480000003,-33.8824771
T8CeIcrLO0vH@gmail.com,19 Tristan Place,Campbelltown,2560.0,7,2019-02-10,2019-02-13,321,150.82577419999996,-34.048700700000005
YVv7a2h@qq.com,25 Leura Road,Auburn,2144.0,3,2018-10-13,2018-10-18,338,151.0218648,-33.8617439
Zujbx6J@yahoo.com,15 Kippax Street,Surry Hills,2010.0,8,2019-02-03,2019-02-05,359,151.20889269999995,-33.884455700000004
Y5I95@gmail.com,1 Oleander Avenue,Baulkham Hills,2153.0,6,2019-03-11,2019-03-17,351,150.9730785,-33.76821210000001
0@yahoo.com,11 Middlemiss Street,North Sydney,2061.0,6,2018-09-06,2018-09-07,368,151.2104639,-33.8432068
foPb@163.com,25 Stannards Place,North Sydney,2061.0,8,2018-12-28,2019-01-03,322,151.2170364,-33.844822799999996
gac009@gmail.com,13 Carruthers Place,Sydney,2219.0,7,2019-03-22,2019-03-29,254,151.1483075,-33.99423400000001
W@gmail.com,19 Carter Lane,Randwick,2031.0,3,2019-06-14,2019-06-20,355,151.2435514,-33.905446600000005
sypTI5PXCr@gmail.com,21 Joseph Street,Blacktown,2148.0,3,2018-09-16,2018-09-21,382,150.9035335,-33.780226899999995
dSSBogcX5Hy2r62@gmail.com,1 Union Road,Auburn,2144.0,5,2019-03-19,2019-03-21,266,151.0297379,-33.8572976
Y5I95@gmail.com,27 King Street,Penrith,2750.0,2,2018-11-16,2018-11-20,319,150.70816059999999,-33.7511391
S5eNoKeN@qq.com,27 Milton Street,Bankstown,2200.0,7,2019-08-13,2019-08-20,256,151.039877,-33.912637
iCnF7eAMj@hotmail.com,17 Seddon Street,Bankstown,2200.0,1,2018-09-21,2018-09-26,392,151.035612,-33.9295269
NMhMV@hotmail.com,5 Winburn Avenue,Kingsford,2032.0,7,2019-04-18,2019-04-24,376,151.218099,-33.9179588
Xy@hotmail.com,29 Hunter Street,Campbelltown,2560.0,6,2019-06-25,2019-07-01,351,150.82583269999995,-34.0776516
Zujbx6J@yahoo.com,9 Oxley Street,Campbelltown,2560.0,4,2019-04-07,2019-04-13,324,150.81615119999995,-34.0680909
ivAquup5g@hotmail.com,11 Arndill Avenue,Baulkham Hills,2153.0,2,2019-07-18,2019-07-22,347,150.9839449,-33.742388500000004
d46nNJDU9HvO@yahoo.com,25 Pearson Place,Baulkham Hills,2153.0,6,2019-02-25,2019-03-01,383,150.9744991,-33.769271999999994
nEPP9TXtr1yFx@163.com,9 O'connell Street,Parramatta,2150.0,6,2019-04-15,2019-04-18,317,150.9995636,-33.815270500000004
r8JoPOEvnY@qq.com,13 Nathan Street,Randwick,2031.0,8,2019-05-02,2019-05-06,398,151.2490662,-33.918493100000006
2bFjl@gmail.com,17 Bentham Place,Castle Hill,2154.0,3,2019-03-03,2019-03-08,372,150.976687,-33.7139251
tR7jnFYxmGS@yahoo.com,19 Gate 7 Avenue,Randwick,2033.0,3,2018-08-31,2018-09-07,298,151.2324171,-33.9160461
